locale,type,entityId,composition,cross_language,joint_corpus,source_set_size,anchors,needs_revision
de,discourse_functions,cohesion_identity,no,no,no,no,2,no
de,discourse_functions,epistemic_authority,no,no,no,no,2,no
de,discourse_functions,power_legitimation,no,no,no,no,2,no
de,discourse_functions,subversion_friction,no,no,no,no,3,no
de,empty_lanes,cohesion_identity,no,no,no,no,3,no
de,empty_lanes,epistemic_authority,no,no,no,no,4,no
de,empty_lanes,power_legitimation,no,no,no,no,2,no
de,empty_lanes,subversion_friction,no,no,no,no,3,no
de,metrics,entity_count,no,no,no,no,1,yes
de,metrics,language_confidence,no,no,no,no,1,yes
de,metrics,publication_hour,no,no,no,no,2,yes
de,metrics,publication_weekday,no,no,no,no,2,yes
de,metrics,sentiment_score_bert_de_news,no,no,no,no,2,yes
de,metrics,sentiment_score_bert_multilingual,no,no,no,no,2,yes
de,metrics,sentiment_score_sentiws,yes,no,no,no,2,no
de,metrics,word_count,no,no,no,no,1,yes
de,open_research_questions,wp-001-section-8,no,no,yes,no,1,no
de,open_research_questions,wp-002-section-7,no,no,yes,no,1,no
de,open_research_questions,wp-003-section-7,no,no,no,no,1,no
de,open_research_questions,wp-004-section-7,no,no,no,no,2,no
de,open_research_questions,wp-005-section-7,no,no,no,no,1,no
de,open_research_questions,wp-006-section-8,no,no,no,no,3,no
de,primers,globe_primer,no,no,no,no,1,no
de,probes,probe-0-de-institutional-web,no,no,no,no,3,no
de,refusals,cross_frame_equivalence_missing,no,no,no,no,2,no
de,refusals,cross_language_merge_unsupported,yes,yes,yes,no,2,no
de,refusals,cross_source_without_equivalence,no,no,yes,no,2,no
de,refusals,invalid_language,no,no,no,no,0,no
de,refusals,k_anonymity_threshold_not_met,no,no,yes,no,1,no
de,refusals,normalization_equivalence_missing,no,no,no,no,1,no
de,refusals,pillar_unavailable,no,no,yes,no,1,no
de,refusals,silver_non_eligible,no,no,no,no,1,no
de,refusals,validation_missing,no,no,no,no,1,no
de,view_modes,cooccurrence_network_entity_count,no,no,yes,no,1,yes
de,view_modes,cooccurrence_network_language_confidence,no,no,no,no,1,yes
de,view_modes,cooccurrence_network_publication_hour,no,no,no,no,1,yes
de,view_modes,cooccurrence_network_publication_weekday,no,no,no,no,1,yes
de,view_modes,cooccurrence_network_sentiment_score_sentiws,no,no,yes,no,1,yes
de,view_modes,cooccurrence_network_word_count,no,no,no,no,1,yes
de,view_modes,distribution_entity_count,no,no,yes,no,1,yes
de,view_modes,distribution_language_confidence,no,no,no,no,1,yes
de,view_modes,distribution_publication_hour,no,no,no,no,2,yes
de,view_modes,distribution_publication_weekday,no,no,no,no,2,yes
de,view_modes,distribution_sentiment_score_bert_de_news,no,no,no,no,3,yes
de,view_modes,distribution_sentiment_score_bert_multilingual,no,no,no,no,3,yes
de,view_modes,distribution_sentiment_score_sentiws,no,no,yes,no,2,yes
de,view_modes,distribution_word_count,no,no,no,no,1,yes
de,view_modes,time_series_entity_count,no,no,no,no,1,yes
de,view_modes,time_series_language_confidence,no,no,no,no,1,yes
de,view_modes,time_series_publication_hour,no,no,no,no,2,yes
de,view_modes,time_series_publication_weekday,no,no,no,no,2,yes
de,view_modes,time_series_sentiment_score_bert_de_news,no,no,no,no,3,yes
de,view_modes,time_series_sentiment_score_bert_multilingual,no,no,yes,no,3,yes
de,view_modes,time_series_sentiment_score_sentiws,no,no,yes,no,2,yes
de,view_modes,time_series_word_count,no,no,no,no,2,yes
de,view_modes,topic_distribution_entity_count,no,no,no,no,3,yes
de,view_modes,topic_distribution_language_confidence,no,no,no,no,3,yes
de,view_modes,topic_distribution_publication_hour,no,no,no,no,3,yes
de,view_modes,topic_distribution_publication_weekday,no,no,no,no,3,yes
de,view_modes,topic_distribution_sentiment_score_bert_de_news,no,no,no,no,3,yes
de,view_modes,topic_distribution_sentiment_score_bert_multilingual,no,no,no,no,3,yes
de,view_modes,topic_distribution_sentiment_score_sentiws,no,no,no,no,3,yes
de,view_modes,topic_distribution_word_count,no,no,no,no,3,yes
de,view_modes,topic_evolution_entity_count,no,no,no,no,3,yes
de,view_modes,topic_evolution_language_confidence,no,no,no,no,3,yes
de,view_modes,topic_evolution_publication_hour,no,no,no,no,3,yes
de,view_modes,topic_evolution_publication_weekday,no,no,no,no,3,yes
de,view_modes,topic_evolution_sentiment_score_bert_de_news,no,no,no,no,3,yes
de,view_modes,topic_evolution_sentiment_score_bert_multilingual,no,no,no,no,3,yes
de,view_modes,topic_evolution_sentiment_score_sentiws,no,no,no,no,3,yes
de,view_modes,topic_evolution_word_count,no,no,no,no,3,yes
en,discourse_functions,cohesion_identity,no,no,no,no,2,no
en,discourse_functions,epistemic_authority,no,no,no,no,2,no
en,discourse_functions,power_legitimation,no,no,no,no,2,no
en,discourse_functions,subversion_friction,no,no,no,no,3,no
en,empty_lanes,cohesion_identity,no,no,no,no,3,no
en,empty_lanes,epistemic_authority,no,no,no,no,4,no
en,empty_lanes,power_legitimation,no,no,no,no,2,no
en,empty_lanes,subversion_friction,no,no,no,no,3,no
en,metrics,entity_count,no,no,no,no,1,yes
en,metrics,language_confidence,no,yes,no,no,1,yes
en,metrics,publication_hour,no,no,no,no,2,yes
en,metrics,publication_weekday,no,no,no,no,2,yes
en,metrics,sentiment_score_bert_de_news,no,no,no,no,2,yes
en,metrics,sentiment_score_bert_multilingual,no,yes,no,no,2,yes
en,metrics,sentiment_score_sentiws,yes,no,no,no,2,no
en,metrics,word_count,yes,yes,no,no,1,no
en,open_research_questions,wp-001-section-8,yes,no,yes,no,1,no
en,open_research_questions,wp-002-section-7,yes,no,yes,no,1,no
en,open_research_questions,wp-003-section-7,no,no,no,no,1,no
en,open_research_questions,wp-004-section-7,no,no,no,no,2,no
en,open_research_questions,wp-005-section-7,yes,no,yes,no,1,no
en,open_research_questions,wp-006-section-8,no,no,no,no,3,no
en,primers,globe_primer,no,no,no,no,1,no
en,probes,probe-0-de-institutional-web,no,no,no,no,3,no
en,refusals,cross_frame_equivalence_missing,no,no,no,no,2,no
en,refusals,cross_language_merge_unsupported,yes,yes,yes,no,2,no
en,refusals,cross_source_without_equivalence,no,no,yes,no,2,no
en,refusals,invalid_language,no,no,no,no,0,no
en,refusals,k_anonymity_threshold_not_met,no,no,yes,no,1,no
en,refusals,normalization_equivalence_missing,no,no,no,no,1,no
en,refusals,pillar_unavailable,no,no,yes,no,1,no
en,refusals,silver_non_eligible,no,no,yes,no,1,no
en,refusals,validation_missing,no,no,no,no,1,no
en,view_modes,cooccurrence_network_entity_count,no,no,yes,no,1,yes
en,view_modes,cooccurrence_network_language_confidence,yes,no,no,no,1,no
en,view_modes,cooccurrence_network_publication_hour,no,no,no,no,1,yes
en,view_modes,cooccurrence_network_publication_weekday,no,no,no,no,1,yes
en,view_modes,cooccurrence_network_sentiment_score_sentiws,no,no,yes,no,1,yes
en,view_modes,cooccurrence_network_word_count,no,no,no,no,1,yes
en,view_modes,distribution_entity_count,yes,no,yes,yes,1,no
en,view_modes,distribution_language_confidence,yes,no,no,no,1,no
en,view_modes,distribution_publication_hour,yes,no,yes,no,2,no
en,view_modes,distribution_publication_weekday,no,no,yes,no,2,yes
en,view_modes,distribution_sentiment_score_bert_de_news,no,no,no,no,3,yes
en,view_modes,distribution_sentiment_score_bert_multilingual,no,yes,no,no,3,yes
en,view_modes,distribution_sentiment_score_sentiws,yes,no,yes,no,2,no
en,view_modes,distribution_word_count,no,no,yes,no,1,yes
en,view_modes,time_series_entity_count,yes,no,no,no,1,no
en,view_modes,time_series_language_confidence,yes,no,no,no,1,no
en,view_modes,time_series_publication_hour,no,no,no,no,2,yes
en,view_modes,time_series_publication_weekday,no,no,no,no,2,yes
en,view_modes,time_series_sentiment_score_bert_de_news,yes,no,no,no,3,no
en,view_modes,time_series_sentiment_score_bert_multilingual,no,yes,yes,no,3,yes
en,view_modes,time_series_sentiment_score_sentiws,no,no,yes,no,2,yes
en,view_modes,time_series_word_count,no,no,no,no,2,yes
en,view_modes,topic_distribution_entity_count,yes,no,no,no,3,no
en,view_modes,topic_distribution_language_confidence,yes,no,no,no,3,no
en,view_modes,topic_distribution_publication_hour,yes,no,no,no,3,no
en,view_modes,topic_distribution_publication_weekday,yes,no,no,no,3,no
en,view_modes,topic_distribution_sentiment_score_bert_de_news,yes,no,no,no,3,no
en,view_modes,topic_distribution_sentiment_score_bert_multilingual,yes,no,no,no,3,no
en,view_modes,topic_distribution_sentiment_score_sentiws,yes,no,no,no,3,no
en,view_modes,topic_distribution_word_count,yes,no,no,no,3,no
en,view_modes,topic_evolution_entity_count,yes,yes,no,no,3,no
en,view_modes,topic_evolution_language_confidence,yes,yes,no,no,3,no
en,view_modes,topic_evolution_publication_hour,yes,yes,no,no,3,no
en,view_modes,topic_evolution_publication_weekday,yes,yes,no,no,3,no
